	Question	Answer 1	Answer 2	Answer 3	Answe 4	Correct
1	"If a tire suddenly goes flat or blows out, you should NOT"	keep the vehicle going straight.	slowly ease our foot off the gas pedal.	brake hard.	hold the steering wheel tightly.	3
2	"On some roadways, lanes marked as ""Transit"" are reserved for"	trucks only.	buses only.	high-occupancy vehicles (HOVs) only.	bicycles only.	2
3	"If an oncoming vehicle has its high-beam headlights on, you should look toward"	the center of the road.	the driver of the oncoming vehicle.	the right edge of the road.	the left edge of the road.	3
4	"In Washington State, the maximum speed limit on state highways is _______ unless otherwise posted."	55 mph	60 mph	40 mph	50 mph	2
5	"To maintain a safe following distance behind the vehicle ahead of you, the Washington Driver Guide recommends that you use _________ at speeds over 30 mph."	the three-second rule	the one-second rule	the two-second rule	the four-second rule	4
6	"When it is raining or the road is wet, you should reduce your speed to avoid"	wear and tear.	hydroplaning.	tailgating.	traction with the surface.	2
7	"In Washington State, you can be arrested for driving with a blood alcohol content (BAC) of ______ or above."	0.02%	0.04%	0.06%	0.08%	4
8	You must treat a flashing red traffic light like	a yield sign.	a Do Not Enter sign.	a merge sign.	a stop sign.	3
9	"When you parallel park in Washington State, you must park within ________ of the curb."	12 inches.	6 inches.	24 inches.	18 inches.	1
10	"You have parked next to a curb, facing uphill. Which way should you point your front wheels?"	Toward the curb	Away from the curb	Parallel to the curb	Toward the right	2
11	You must not follow a fire truck closer than ________ when it is responding to a fire alarm.	200 feet	300 feet	500 feet	400 fee5	3
12	"At an intersection, if you see a pedestrian using a guide dog or other service animal or carrying a white cane, you must"	reduce your speed and pass slowly.	use your horn to alert the pedestrian.	stop your vehicle.	switch on your headlights to alert the pedestrian.	3
13	You are driving on a two-lane roadway. A school bus with flashing red lights is stopped ahead. What must you do?	Proceed with caution.	"Stop, no matter which direction you are traveling in."	Slow to 15 mph and proceed with caution.	Stop if you are traveling in the same direction as the school bus.	2
14	__________ mark the left edge of one-way roads and separate opposing lanes of traffic on two-way roads.	Solid white lines	Solid yellow lines	Dashed white lines	Dashed yellow lines	2
15	"To hold the steering wheel, especially in turns, you should keep"	your hand between 10 and 11 o'clock and your right hand between 1 and 2 o'clock	your hand between 9 and 10 o'clock and your right hand between 5 and 6 o'clock	your hand between 8 and 9 o'clock and your right hand between 3 and 4 o'clock	your hand between 9 and 10 o'clock and your right hand between 3 and 3 o'clock	3
16	A solid white line between lanes of traffic means that you should	make a right turn.	stay in your lane.	stop.	not stay in your lane.	2
17	"In Washington State, which occupants of a passenger car must wear safety belts or appropriate child restraints?"	"The driver, all front-seat passengers, and all passengers under 18"	The driver and all passengers	The driver and passengers under 18	"The driver, all front-seat passengers, and all passengers under 18"	2
18	"At a speed of 55 mph, you need about __________ to pass another vehicle."	seven seconds	five seconds	two seconds	ten seconds	4
